parameter,value,unit,source,note
pricing_date,2026-06-11,date,local analysis,"Prices should be rechecked before final publication."
region,europe-central2,,chapter 3,"Warsaw region used by GKE and Memorystore scenarios."
hours_per_month,730,h,analysis assumption,"Used for monthly estimates from hourly list prices."
self_hosted_gke_nodes,3,node,chapter 3 listing 3.1,"GKE Standard node pool size."
self_hosted_gke_machine_type,n2-standard-4,,chapter 3 listing 3.1,"Hourly price must be read from Google Cloud SKUs for the current billing date."
n2_standard_4_hourly_usd,TO_VERIFY,USD/node-hour,Google Cloud SKUs,"Open https://cloud.google.com/skus and filter for n2-standard-4 or N2 vCPU/RAM in europe-central2/Warsaw."
gke_cluster_management_fee_hourly_usd,0.10,USD/cluster-hour,https://cloud.google.com/kubernetes-engine/pricing,"Google lists a flat GKE cluster management fee of 0.10 USD per cluster hour."
gke_boot_disk_type,pd-balanced,,chapter 3 listing 3.1,"Boot disks for three GKE nodes."
gke_boot_disk_total_gib,150,GiB,chapter 3 listing 3.1,"3 nodes * 50 GiB."
pd_balanced_hourly_usd_per_gib,0.000136986,USD/GiB-hour,https://cloud.google.com/compute/disks-image-pricing,"Google disk pricing for balanced provisioned space."
self_hosted_pvc_type,pd-ssd,,chapter 3 normalized profile,"Operational self-hosted profile uses 6 PVCs of 8 GiB."
self_hosted_pvc_total_gib,48,GiB,chapter 3 normalized profile,"6 pods * 8 GiB."
pd_ssd_hourly_usd_per_gib,0.000232877,USD/GiB-hour,https://cloud.google.com/compute/disks-image-pricing,"Google disk pricing for SSD provisioned space."
memorystore_node_type,redis-standard-small,,chapter 3 listing 3.2,"Managed Redis Cluster node type."
memorystore_shards,3,shard,chapter 3 listing 3.2,"Base managed cluster shape."
memorystore_replica_count,1,replica per shard,chapter 3 listing 3.2,"Creates 3 replica nodes for 3 shards."
memorystore_total_nodes,6,node,calculated,"3 primary shard nodes + 3 replica nodes."
memorystore_redis_standard_small_hourly_usd,0.1425,USD/node-hour,https://cloud.google.com/memorystore/cluster/pricing,"Google Memorystore for Redis Cluster pricing for Warsaw/europe-central2."
aof_persistence_cost,excluded,,analysis assumption,"AOF persistence is not included unless explicitly enabled."
backup_storage_cost,excluded,,analysis assumption,"Backup storage cost is scenario-dependent and excluded from steady-state monthly cost."
network_cost,excluded,,analysis assumption,"Private Service Connect and inter-zone data processing depend on traffic placement and are excluded."
discounts,excluded,,analysis assumption,"No CUD, SUD, Spot, credits, or free-tier offsets are applied."
